GENUS,SPECIFIC EPITHET,INFR SPECIES,COLLECTOR,COL NUM,HERB ACRONYM,DATE,STEM,Tree height,STEM LENGTH/Meters,STEM DIAMETER,External fibres,NUMBER OF LEAVES,Leaf length,PETIOLE LENGTH,PETIOLE WIDTH,PETIOLE CROSS SECTION SHAPE,PETIOLE COLOR,PETIOLE TEXTURE,LEAF RACHIS CROSS SECTION FORM,LEAF RACHIS COLOR,LEAF RACHIS TEXTURE,PINNAE TOTAL NUMBER,PINNAE NUMBER ON ONE SIDE,PINNAE DISPOSITION,PINNAE INSERTION ANGLE,PINNAE SHAPE,PINNAE BASAL LENGTH,PINNAE BASAL WIDTH,PINNAE MEDIAL LENGTH,PINNAE MEDIAL WIDTH,PINNAE APICAL LENGTH,PINNAE APICAL WIDTH,PINNAE APEX SHAPE,PINNAE MARGIN POSITION TO MIDRIB,Pinnae midrib spiny,PINNAE SPINY MARGINS,Length of spines,APEX SHAPE OF LAST PINNAE,Shape of first basal pinnae,INFLORESCENCE POSITION,POSITION OF PISTILLATE & STAMINATE INFL.,NUMBER OF INFL.,INFL.TYPE,NUMBER OF RAMIFICATION ORDERS,DEVT. STAGE OF INFL.,INFL.LENGTH,INFL.WIDTH,INFL.COLOR,INFL.RACHIS WIDTH,INFL.RACHIS CROSS SECTION FORM,bracts of inflorescence,X82,DISTANCE BETWEEN FIRST ORDER RACHILLAE,DISPOSITION OF FIRST ORDER RACHILLAE,Shape of first order rachillae,SHAPE OF FIRST ORDER RACHILLAE terminal bud,Terminal bud length and widest width,RACHILLAE FERTILE APEX,BASAL LENGTH OF 1ST ORDER RACHILLAE,BASAL WIDTH OF 1ST ORDER RACHILLAE,MEDIAL LENGTH OF 1ST ORDER RACHILLAE,MEDIAL WIDTH OF 1ST ORDER RACHILLAE,APICAL LENGTH OF 1ST ORDER RACHILLAE,APICAL WIDTH OF 1ST ORDER RACHILLAE,1ST ORDER RACHILLAE COLOR,1ST ORDER RACHILLAE TEXTURE,NUMBER OF 2ND ORDER RACHILLAE,DISPOSITION OF 2ND ORDER RACHILLAE,SHAPE OF 2ND ORDER RACHILLAE APEX,BASAL LENGTH OF 2ND ORDER RACHILLAE,BASAL WIDTH OF 2ND ORDER RACHILLAE,MEDIAL LENGTH OF 2ND ORDER RACHILLAE,MEDIAL WIDTH OF 2ND ORDER RACHILLAE,APICAL LENGTH OF 2ND ORDER RACHILLAE,APICAL WIDTH OF 2ND ORDER RACHILLAE,2ND ORDER RACHILLAE COLOR,2ND ORDER RACHILLAE TEXTURE,LONGITUDINAL DISPOSITION OF 2ND ORDER RACHILLAE,FLOWER DISPOSTION ON 2ND ORDER RACHILLAE,X112,FLOWER TYPE,Length,FLOWER SHAPE,PETAL NUMBER,STAMEN COLOUR,FLOWER TYPE_1,Length_1,FLOWER SHAPE_1,PISTIL POSITION REL. TO OTHER ORGANS,PISTIL COLOUR,FRUIT SHAPE,FRUIT LENGTH,FRUIT WIDTH,FRUIT DEVT. STAGE,Beak length,Beak Basal width,Number of rows of scales,width of scale,Groove width,Seed length,Seed width,FRUIT COLOUR,VEGETATION TYPE,SOIL TYPE,WILD/CULTIVATED,OBSERVATION
Raphia,africana,,Otedoh M. & Nneji C.,7377,K,5-4-1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,post anthesis,,,,,,,,,,,Terminal bud almost not seen. Its sought of elongated to a Second order rachillae,,Yes,52,3.2,,,,,creamy brown,smooth,67,alternating in 2 rows on each side,Dorsi ventrally flattened,,,,1,10,,creamy brown,smooth,straight,alternating in 2 rows on each side,,Staminate,1,oblong curved,3,brown,Pistillate,1,oblong pear shaped,basal,brown,,,,Fruit still very young.,,,,,,,,brown,grows in swamps,swamps,,label mentions cultivated in swamps.
Raphia,africana,,Otedoh M. & Ovie J.,7378,K,3-3-1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oblong,10,4.8,mature,0.7,0.5,10,2.3,0.3,6.8,3,brown to light brown,,,,
Raphia,africana,,Otedoh M.O.,7373,K,1-7-1972,Yes,,9,,Drooping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,,,,,,3.3,,,,,creamy brown,smooth,,alternating in 2 rows on each side,Dorsi ventrally flattened,,1.2,,1.2,,,creamy brown,smooth,straight,alternating in 2 rows on each side,,Staminate,1,Oblong,3,brown,,,,,,Oblong,,3.2,not yet mature,0.8,0.5,10-11 rows,,,,,yellow brown,Swampy area,,,Tapped for wine
Raphia,mambilliensis,,Keay RWJ,37938,K,10-5-1960,No,,,,,,,,,,,,dorsi ventrally keeled,,,,,,,Lanceolate,,,4.7,,,,,,,Yes,,,,,,,,,,,,,,,"Chestnut brown inside, light brown outside",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By small stream with tall grass in farmland,,,
Raphia,mambilliensis,,Brunt M.,1140,K,15-6-1963,,,,,,,4.8,,,,brown with white spots,smooth,dorsi ventrally keeled,,,,,irregular,20,Lanceolate,,,,,,,Lanceolate,,Yes,Yes,,Needle-like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphia,mambilliensis,,Brunt M.,1195,K,18-7-1963,,,,,,,,,,Circular,brown with white spots,smooth,dorsi ventrally keeled,,,,,irregular,,Lanceolate,,,64,,,,Lanceolate,,,Yes,,Needle-like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphia,hookeri,,Ake Assi L.,10018,K,26-3-1968,,,,,,,,,,,,,dorsi ventrally keeled,brown,,,,,15,Lanceolate,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Flattened,4.2 X 1.4,yes,,,,,,,creamy brown,smooth,,alternating in 2 rows on each side,Dorsi ventrally flattened,,,,1.2,14,1,creamy brown,smooth,straight,alternating in 2 rows on each side,,,,,,,,,,,,,,,,,,,,,,,,Swamp,,,
Raphia,hookeri,,Hall J.B.,2442,K,8-1-1963,Yes,,7,0.9,,,6,3,10,,brownish-green,,dorsi ventrally keeled,,spines on keel,,60,,,,,,63,,17,0.6,Lanceolate,,,Yes,0.2,,Needle-like,pendulous,,4,,,,1.2,,,,,,,,,Dorsi ventrally flattened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obovate,6,3,,0.9,,,,,4.7,,,,,,
Raphia,sp.,,Hepper FN & Maley J,8210,K,11-2-1984,Yes,,14,,,,4,,,,,,dorsi ventrally keeled,,spines on keel,,,irregular,,Lanceolate,,,88,3.6,,,,,Yes,Yes,,,,Pendulous,"Pistil basal, Staminate distal",,,,"Fruiting, fruits immature",,,,,,,,,,,flattened,>4 X1.3,Yes,38,3.5,,,,,creamy brown,smooth,35,alternating in 2 rows on each side,Dorsi ventrally flattened,13,1.3,,1.2,7,1.1,creamy brown,smooth,straight,alternating in 2 rows on each side,,Staminate,,Oblong,3,brown,,,,,,Obovate,,,imatture,,,9 rows,,,,,dark brown,Depression swamp,,,"Second order rachillae quite short and more robust, thick. Thicker than etoure but not thicker than the oyem type. Rachillae here are flat."
Raphia,hookeri,,Sunderland T.C.H.,1912,K,30-4-1998,No,,,,,,6,2,,,,,dorsi ventrally keeled,grayish brown,spines on keel,,,irregular,55,,,,80,2.5,,,,,Yes,,,,,,"Pistil basal, Staminate distal",,,,"Fruiting,fruits seem mature",,,,,,,,,,Dorsi ventrally flattened but axis is more eliptic,flattened,5 X 1,Yes,,,,,,,grayish brown,smooth,,alternating in 2 rows on each side,Dorsi ventrally flattened,,,19,1.4,11.5,1.3,grayish brown,smooth,straight,One row on each side of rachillae,,Staminate,,Oblong,3,brown,,,,basal,,Elliptic,,,seem mature,1.1,0.4,12 rows,,,6.6,3,dull red brown,Besides stream in swamp forest,,,Looks like species collected in Gabon in the river
Raphia,manni,,Otedoh M.O.,7381,K,3-3-1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting with mature and immature fruits,,,,,,,,,,,flattened,1.1X0.6,Yes,45,2.1,,,,,creamy brown,smooth,58,alternating in 2 rows on each side,dorsi ventrally flattened to elliptic,,1,,0.7,,0.6,creamy brown,smooth,straight,alternating in 2 rows on each side,,Staminate,,Oblong,3,creamy brown,,,,,,,,,,,,,,,,,,,,,
Raphia,palma-pinus,,Ake Assi L.,8915,K,6-6-1966,,,,,,,,,,,,,dorsi ventrally keeled,brown,spines on keel,,,irregular,,Lanceolate,,,,,,,,,yes,yes,,,,,"Pistil basal, Staminate distal",,,,Young one and fruiting,,,,,,,,,,,Flattened,0.7 X 0.3,Yes,,,,,,,brown and light brown,smooth,,alternating in 2 rows on each side,dorsi ventrally flattened to but sought of thicker when more mature,,,,0.6,5.56,,brown and light brown,smooth,straight,alternating in 2 rows on each side,,Staminate,0.8,oblong curved,3,,,,,basal,,Oblong,,,fruit immature,0.3,0.2,9 rows,,0.2,,,brown,,,,
Raphia,palma-pinus,,Deighton JC,2979,K,1-11-1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Before anthesis,,,,,,,,,,,seems elongated,,Yes,,3,,,,,creamy brown,Axis bears short hair like structures,,alternating in 2 rows on each side,dorsi ventrally flattened but more rectangular,30,2,,,23,1.9,creamy brown,smooth,straight,alternating in 2 rows on each side,,Staminate,,not clear,3,,,,,,,Oblong,8.5,,seem not yet mature,,,8- 9rows,,,,,,,,,"Male flowers still closed , seem quite young"
Raphia,gentiliana,,Fay J.M.,4125,K,19-1-1983,,,,,,,,,,,,,dorsi ventrally keeled,Light green,,,,,,Lanceolate,,,121,3.6,,,,,Yes,Yes,,,,,,,,,Before anthesis,,,,,,,,,,Dorsi ventrally flattened with more loselike rachilla,Flattened,2 X 0.6,Yes,39,2,,,,,creamy light green to light purple,smooth,96,alternating in 2 rows on each side,Dorsi ventrally flattened,,,,0.5,,,creamy light green to light purple,smooth,straight,alternating in 2 rows on each side,,Staminate,,oblong with pointed tip,3,,,,,,,Oblong,,,fruit seem mature but not sure,0.3,0.2,10-11 rows,,0.2,,,light brown to brown,"Wet, open gallery",,,"Male flowers still closed , seem quite young. Female flowers have this slender long potruding tip"
Raphia,hookeri,type,Mann G,1911,K,,,,,,,,,,,,,,,,,,,,,Lanceolate,,,,4,,,,,Yes,Yes,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphia,africana,,Cheek M.,10347,K,13-12-1999,clustering:2-3 stems,,6,2,Straight,,,,,,brown with dark spots,smooth,dorsi ventrally keeled,Light green,spines on keel,,,,,Lanceolate,,,,,,,Lanceolate,,Yes,Yes,,,,pendulous,"Pistil basal, Staminate distal",,,,"fruiting, fruits mature",,,,,,,,,,Dorsi ventrally flatenned with more stiff rachillae,,,Yes,,2.9,,,,,grayish brown,smooth,,alternating in 2 rows on each side,Dorsi ventrally flattened,,,,,,,grayish brown,smooth,straight,alternating in 2 rows on each side,,Staminate,1.4,Oblong slightly curved,3,Grayish brown,,,,,,Oblong,,,mature,0.4,0.3,10 rows,,,,,brown,swampy valley bottom,,,largest fruit observed for the raphiate type.
Raphia,sp.,,van Valkenburg JLCH,2511,"K, WAG",2-5-2003,,,,,Straight,,,,,,,,,,,,120,irregular,,Lanceolate,74,2,,,30,1.5,,,Yes,Yes,,,,pendulous,"Pistil basal, Staminate distal",,,,at athesis,2,,,,,,,,,dorsi ventrally flattened,grown into rachillae,,Yes,,3.5,,,,,light brown,smooth,,alternating in 2 rows on each side,dorsi ventrally flattened but more rigid and thick,,,,,,,light brown,smooth,straight,alternating in 2 rows on each side,,Staminate,,Lanceolate,3,light brown,Pistillate,1.5,oblong with long beak,,,,,,immatture,,,,,,,,light brown with margins of scales dark brown,"1m deep in water, 3m from shore",,,female flowers here still very young. Specimen looks like oyem species harvested.
Raphia,laurentii,,Léonard J,1144,K,,,,,,,,,,,,,,dorsi ventrally keeled,,,,,,,Lanceolate,,,,,,,,,Yes,Yes,,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ovoid,,,seem mature,0.6,0.4,12 rows mostly ; 11 once,,,,,chocolate brown,in water,,,
Raphia,longiflora,type,Mann G & Wend,1910,K,,,,,,,,,,,,,,,,,,,,,Lanceolate,,,,4.5,,,,,Yes,Yes,,,,pendulous,,,,,post anthesis,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,creamy brown,smooth,,alternating in 2 rows on each side,,Staminate,2.5,Lanceolate,3,,,,,,,,,,,,,,,,,,,,,,
Raphia,laurentii,,Harris DJ & Fay JM,1698,K,12-12-1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,Dorsi ventrally flattened,,,,,,,,,,grayish brown,smooth,,alternating in 2 rows on each side,Dorsi ventrally flattened,,1.2,12,1,,,grayish brown,smooth,straight,alternating in 2 rows on each side but one row towards tip and base,,Staminate,,lanceolate with pointed tip and slightly curved,3,,,,,,,Ellipsoid,6,,seem mature,,0.3,12-13 rows,,0.2,,,light green,Permenently flooded swamp,,,
Raphia,monbuttorum??,,Meijer W,15181,K,18-3-1981,,,,,,,,,,,,,dorsi ventrally keeled,Light brown,,,,irregular,,Lanceolate,,,,,,,,,Yes,Yes,0.1,,,,,,,,post anthesis,,,,,,,,,,dorsi ventrally flattened but rachillae spreading out in 4planes,,,,,2,,,,,creamy brown,smooth,,alternating in 2 rows on each side,dorsi ventrally flattened,,,,,,,creamy brown,smooth,straight,alternating in 2 rows on each side,,Staminate,1,oblong with slightly curved pointed tip,3,,,,,,,Ellipsoid,,,seem to be just before maturity,0.2,0.2,11-12 row but mosty 12 counted,,,,,,,,,
Raphia,palma-pinus,,Raimundo F &Guerra JA,549,K,15-12-1960,,,,,,,,,,,,,dorsi ventrally keeled,Light brown,spines on keel,,,,,Lanceolate,,,,,,,Lanceolate,,Yes,Yes,0.15,Needle-like,,,,,,,,,,,,,,,,,dorsi ventrally flattened but main axis is circular,small slender,0.6X0.15,Yes,,1.1,,,,,light brown,smooth,,seems to be in a spiral (opposite decusate),dorsi ventrally flattened but more circular,,,5,0.5,,,light brown,smooth,straight,alternating in 2 rows on each side,,Staminate,0.4,ellipsoid wth pointed tip,,,,,,,,,3.4,1.7,seem young,0.2,0.15,,,,,,brown,,,,
Raphia,sp,,"M'boungou, R",159,K,27-5-2010,Yes,,4,,,,15,,7,chanelled,gray brown,smooth,,,,,,,,Lanceolate,106,,,,,,,,Yes,Yes,,,,,,,,,fruiting with most likely mature fruits,2,,,,,,,,,,,,Yes,,1.3,,,,,dark grayish brown,smooth,,alternating in 2 rows on each side,circular,,0.5,,0.3,,,grayish brown,smooth,straight,alternating in 2 rows on each side,,Staminate,1,oblong curved,3,,,,,,,Ovoid (egg shape with wide base,,,seem mature,,,11-12 rows,,,,,dark brown,hill side forest,,,
Raphia,monbuttorum,type,Schweinfurtii G,3357,"K, WAG",,,,,,,,,,,,,,dorsi ventrally keeled,Light brown,,,,,,Lanceolate,,4.2,,,,,,,Yes,Yes,,,,,,,,,"post anthesis,very young fruits",,,,,,,,,,dorsi ventrally flattened,slender and elongated,4.3 X 0.6,Yes,36,2.5,,,,,grayish brown,smooth,66,alternating in 2 rows on each side,Dorsi ventrally flattened,,0.6,,0.5,,0.4,grayish brown,smooth,straight,alternate in one row on both sides,,Staminate,1.1,oblong and curved (just like a bracket or shallow C),3,,,,,,,,,,,,,12 rows,,,,,,,,,
Raphia,australis,type,Strey,8200,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting with mature fruits,,,,,,,22,,,dorsi ventrally flattened,,,Yes,,2,,,,,light brown,smooth,77,alternating in 2 rows on each side,dorsi ventrally flattened,,1,,0.8,,,light brown,smooth,straight,alternate in two row on both sides but mostly in one row on each side,,Staminate,1.3,oblong and curved (just like a bracket or shallow C),3,,,,,,,ovoid (egg shaped with largest width in the middle,,,seem mature,0.4,0.4,12 rows,,0.2,,,dark brown,Edge of dense forest inundated during rainy season,,,
Raphia,australis,,Gomes E Sousa A,5036,K,6-2-1968,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post anthesis & fruiting,,,,,,,,,,dorsi ventrally flattened from base to middle then circular towards apex,grown into rachillae,,Yes,,,,,,,"light brown, older specimen gray brown",smooth,70,"alternating in 2 rows on each side, then almost spiral towards the apex",dorsi ventrally flattened,,0.5,9,0.4,,0.4,light brown,smooth,straight,alternate in two row on both sides but mostly in one row on each side,,Staminate,1,oblong and curved (just like a bracket or shallow C),3,,,,,,,ovoid (egg shaped with largest width in the middle,,,seem mature,0.5,0.5,12 rows,,0.2,,,dark brown,river bank,,,
Raphia,matombe,,Gossweilerii L.,8638,K,11-11-1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Before anthesis,,3,,,,,,,,dorsi ventrally flattened to circular,"very small , ends in male flowers most of the time",,Yes,25,1.1,,,12,0.5,brown,smooth,,alternating in one row on both sides,dorsi ventrally flattened,8,0.5,5,0.5,,0.2,brown,smooth,straight,alternate in one row on both sides,,Staminate,0.8,oblong and curved (just like a bracket or shallow C),3,,Pistillate,0.7,,,,,,,,,,,,,,,,,,,
Raphia,regalis,isotype,Gossweilerii L.,9090,K,,,,,,,,,,,,,,dorsi ventrally keeled,Light brown,,,,irregular,,Lanceolate,,,,,,,,,,,,,,,,,,,post anthesis,,,,,,,,,,dorsi ventrally flattened,,,,,1,,,,,light brown,smooth,,alternating in one row on both sides,dorsi ventrally flattened,,,,,,,light brown,smooth,zigzag towards tip,alternate in one row on both sides,,Staminate,1,oblong and slightly curved at tip,3,,,,,,,,,,,,,,,,,,,,,,
Raphia,rostrata,type,Gossweilerii L.,9091,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post anthesis,,,,,,,,,,dorsi ventrally flattened,Flattened,3.4 X1.1 -1.2,Yes,31,2,,,,,dark brown,smooth,23,alternating in 2 rows on each side,Dorsi ventrally flattened,19,,,0.9,,0.7,dark brown,smooth,straight,"alternate in one row on both sides, sometimes 2",,Staminate,1.7,oblong,3,,,,,,,,,,,,,14 rows,,,,,,,,,
Raphia,textilis,isotype,Gossweilerii L.,9088,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,at athesis,,,,,,,,,,dorsi ventrally flattened,grown into rachillae,,Yes,25,1,,,,,light brown,smooth,78,alternating in 2 rows on each side,Dorsi ventrally flattened,,0.5,9,0.4,,,light brown to dark purple at tip,smooth,straight,alternate in two row on both sides at the base and then mostly in one row on each side towards the tip,,Staminate,0.7,oblong,3,,,,,,,,,,,,,,,,,,,,,,
Raphia,farinifera,,Henderson A,757,K,28-2-1988,Yes,,10,,,12,,,,,,,dorsi ventrally keeled,reddish,spines on keel,,,irregular,,Lanceolate,,,100,3.4,,2.1,Lanceolate,,Yes,Yes,,Needle-like,,pendulous,,,,,fruiting,,,,,,,25,,,dorsi ventrally flattened,long and flattened,5 X0.7,Yes,18,0.2,,,,,light brown,smooth,33,alternating in 2 rows on each side,Dorsi ventrally flattened,11,0.9,10,0.8,6,0.6,light brown,smooth,straight,alternate in one row on both sides,,Staminate,,oblong,3,,,,,,,Ellipsoid,,,seem mature,0.4,,12 rows,,,,,dark brown,,,,
