GENUS,SPECIFIC EPITHET,INFR SPECIES,COLLECTOR,COL NUM,HERB ACRONYM,DATE,STEM,Tree height,STEM LENGTH/Meters,STEM DIAMETER,External fibres,NUMBER OF LEAVES,Leaf length,PETIOLE LENGTH,PETIOLE WIDTH,PETIOLE CROSS SECTION SHAPE,PETIOLE COLOR,PETIOLE TEXTURE,LEAF RACHIS CROSS SECTION FORM,LEAF RACHIS COLOR,LEAF RACHIS TEXTURE,PINNAE TOTAL NUMBER,PINNAE NUMBER ON ONE SIDE,PINNAE DISPOSITION,PINNAE INSERTION ANGLE,PINNAE SHAPE,PINNAE BASAL LENGTH,PINNAE BASAL WIDTH,PINNAE MEDIAL LENGTH,PINNAE MEDIAL WIDTH,PINNAE APICAL LENGTH,PINNAE APICAL WIDTH,PINNAE APEX SHAPE,PINNAE MARGIN POSITION TO MIDRIB,Pinnae midrib spiny,PINNAE SPINY MARGINS,Length of spines,APEX SHAPE OF LAST PINNAE,Shape of first basal pinnae,INFLORESCENCE POSITION,POSITION OF PISTILLATE & STAMINATE INFL.,NUMBER OF INFL.,INFL.TYPE,NUMBER OF RAMIFICATION ORDERS,DEVT. STAGE OF INFL.,INFL.LENGTH,INFL.WIDTH,INFL.COLOR,INFL.RACHIS WIDTH,INFL.RACHIS CROSS SECTION FORM,bracts of inflorescence,X82,DISTANCE BETWEEN FIRST ORDER RACHILLAE,DISPOSITION OF FIRST ORDER RACHILLAE,Shape of first order rachillae,SHAPE OF FIRST ORDER RACHILLAE terminal bud,Terminal bud length and widest width,RACHILLAE FERTILE APEX,BASAL LENGTH OF 1ST ORDER RACHILLAE,BASAL WIDTH OF 1ST ORDER RACHILLAE,MEDIAL LENGTH OF 1ST ORDER RACHILLAE,MEDIAL WIDTH OF 1ST ORDER RACHILLAE,APICAL LENGTH OF 1ST ORDER RACHILLAE,APICAL WIDTH OF 1ST ORDER RACHILLAE,1ST ORDER RACHILLAE COLOR,1ST ORDER RACHILLAE TEXTURE,NUMBER OF 2ND ORDER RACHILLAE,DISPOSITION OF 2ND ORDER RACHILLAE,SHAPE OF 2ND ORDER RACHILLAE APEX,BASAL LENGTH OF 2ND ORDER RACHILLAE,BASAL WIDTH OF 2ND ORDER RACHILLAE,MEDIAL LENGTH OF 2ND ORDER RACHILLAE,MEDIAL WIDTH OF 2ND ORDER RACHILLAE,APICAL LENGTH OF 2ND ORDER RACHILLAE,APICAL WIDTH OF 2ND ORDER RACHILLAE,2ND ORDER RACHILLAE COLOR,2ND ORDER RACHILLAE TEXTURE,LONGITUDINAL DISPOSITION OF 2ND ORDER RACHILLAE,FLOWER DISPOSTION ON 2ND ORDER RACHILLAE,X112,FLOWER TYPE,Length,FLOWER SHAPE,PETAL NUMBER,STAMEN COLOUR,FLOWER TYPE_1,Length_1,FLOWER SHAPE_1,PISTIL POSITION REL. TO OTHER ORGANS,PISTIL COLOUR,FRUIT SHAPE,FRUIT LENGTH,FRUIT WIDTH,FRUIT DEVT. STAGE,Beak length,Beak Basal width,Number of rows of scales,width of scale,Groove width,Seed length,Seed width,FRUIT COLOUR,VEGETATION TYPE,SOIL TYPE,WILD/CULTIVATED,OBSERVATION
Raphia,africana,isotype,Otedoh M.O.,7376,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oblong,8.5,,not quite mature,0.8,0.5,11- 12 rows,,,,,yellow,damp high forest area,,,
Raphia,australis,,Strey,8060,K,14-2-1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narrowly oblong,,,immatture,,,12 rows,,,,,immature,,,,
Raphia,palma-pinus,,Ake Assi L.,9744,K,7-11-1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oblong,8.5,,seem not yet mature,0.6,0.4,10 rows,,,,,,,,,
Raphia,palma-pinus,nodostachys,Ake Assi L.,9762,K,10-11-1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oblong,7,3.2,seems immature,,0.2,9 rows,,,,,,,,,
Raphia,gilletti,,Léonard J,1612,P,,Yes,6,,,,,,,,,,,dorsi ventrally keeled,light brown with dark spots,not seen,,,irregular,,Lanceolate,,,,,,,,,Yes,Yes,,,,,,,,,Pre anthesis,,,,,,,,,,dorsi ventrally flattenned,,,Yes,,1.8,,,,,light brown,smooth,50,alternating in 2 rows on each side,Dorsi ventrally flatened,,0.7,16.5,0.7,12,0.6,light brown,smooth,straight,alternating in 2 rows on each side,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female flowers seem quite mature, male flower corolla not yet seen just the tips. Very peculiar petals on female flowers with elongated tips."
Raphia,gracillis,,Dybowski M.J.,12,P,18-6-1985,,,,,,,,,,,,,dorsi ventrally keeled,light brown,spines on keel,,,,,Lanceolate,,,,,,,Lanceolate,,Yes,Yes,0.1,lanceolate,,,,,,,Pre anthesis,,,,,,,,,,dorsi ventrally flattened,short and flattened,0.8X0.3,Yes,49,1.8,,,,,light brown to gray,smooth,48,alternating in one row on both sides,dorsi ventrally flattened,,0.5,10,0.5,7.2,0.5,light brown to gray,smooth,straight,alternating in 2 rows on each side,,Staminate,,oblong with pointed tip,3,,,,,,,ovoid,,,seem immature,,0.2,9 rows,,,4.3,2.2,dark brown,,,,2nd order rachillae are loose and quite spaced out and alternate in one row on each side of axis
Raphia,monbuttorum,,Letouzey R.,1556,P,12-3-1959,Yes,,2,,,,,,,,,,dorsi ventrally keeled,light brown,,,,irregular,,Lanceolate,,,76,,22,,Lanceolate,,Yes,Yes,,lanceolate,,,,,,,fruiting: young fruits seen,,,,,,,,,,dorsi ventrally flattened,"long and round, sometimes completely grown into rachillae",,Yes,,2,,,,,light brown to gray,smooth,,alternating in 2 rows on each side but only in one row towards the apex,dorsi ventrally flattened,,0.6,8,0.5,4,0.4,light brown to gray,smooth,straight,alternating in one row on each side. Flowers in 4 planes,,Staminate,,oblong and slightly curved,3,,,,,,,ovoid (egg shaped with largest width in the middle,,,very small and young.,,,12 rows,,,,,dark brown,,,,
Raphia,monbuttorum,,Letouzey R.,2619,P,12-1-1960,Yes,,,,Straight,,,5,10,,,,dorsi ventrally keeled,light brown,,,,,,Lanceolate,,,,,16.5,5,Lanceolate,,,Yes,0.2,Needle-like,,,,,,,fruiting: young fruits seen,,,yellow,,,,,,,dorsi ventrally flattened,,,,,,,,,,light brown to gray,smooth,,alternating in two rows on each side,dorsi ventrally flattened,,0.8,,,,,light brown to gray,smooth,straight,alternating in 2 rows on each side but one row towards tip and base,,Staminate,,oblong; some straight others curved,3,,,,,,,ovoid (egg shaped with largest width in the middle,,,very small and young.,,,12  rows,,,,,,,,,Apex of partial inflorescence absent
Raphia,matombe,,Chevalier A.,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting: seems mature,,,,,circular,,,,,circular,bud grown into rachillae,,Yes,37,1,,,,,brown,smooth,,alternating in two rows on each side to spiral,dorsi ventrally flattened,11,0.5,9,0.4,,,brown,smooth,straight,alternating in one row on each side,,Staminate,,oblong;slightly curved at tip,3,,,,,,,Oblong,,,seem mature,0.5,0.3,9-10 rows,,,,,dark brown,,,,"distinctive bracts covering female flowers; and these are persistent , including probably the sepals and seen on pedicel of fruit"
Raphia,regalis,,Letouzey R.,1870,P,8-5-1959,No,,,,,6,,,,chanelled,light brown with dark spots,smooth,,,,,,,,Lanceolate,,,,,,,Lanceolate,,Yes,Yes,,Needle-like,,erect,,,,,"Partial infl. Young, fruit seems mature",,,light green to yellow,,,,,,alternates in one row on each side of infl rachis,dorsi ventrally flattened,"flattened, sometimes grown into rachillae",1.5 X 0.3,Yes,,,,,,0.6,light green to yellow,smooth,,alternating in one row on both sides,dorsi ventrally flattened,,0.2,5.2,0.1,,0.1,light green to yellow,smooth,zig zag especially towards tip,alternating in one row on each side,,Staminate,0.4,egg shaped with pointed tip,3,,,,,,,Oblong with widest width at midlength,6.5,2.4,seems mature,,,,,,,,dark red,,,,measurements taken on parts of apex of inflorescence
Raphia,rostrata,,Letouzey R.,15260,P,28-11-1979,Yes,,,,"black,gray curly fibres",,,,,,,,,,,,,,,Lanceolate,1.26,3.6,,,,,,,Yes,Yes,,,,pendulous,,,,,Post anthesis,,,,,,,,,,dorsi ventrally flattened,flattened,2.8 X 1,Yes,,,,,,,dark brown,smooth,,alternating in two rows on each side,dorsi ventrally flattened,,,,,,1,dark brown,smooth,straight,"alternating in one row on each side, sometimes two",,Staminate,1.3,oblong,3,,Pistillate,,oblong. widest towards base and middle,,,Oblong to ovoid,,,seems mature,1.1,,12 rows,,,,,reddish brown,,,,"just upper part of partial inflorescence seen, descriiption mentions absence of peduncle; fruit with marked/pronounced ridges"
Raphia,vinfera,,Letouzey R.,14847,P,7-5-1976,Yes,,,,,,7,5,,,orange,,,,rare small spines towards base of rachis,120,,,,Lanceolate,,4,,,,,,,Yes,Yes,,,,pendulous,,,,,at athesis,1,50,,,,,,,,dorsiventrally flattened,covered by rachillae bract,2.6 X0.9,Yes,50,,,,,,brown,smooth,23,"alternating in two rows on each side , in one row at apex",dorsi ventrally flattened,10,0.9,,,,0.6,brown,smooth,curved with flat buds,alternating in 2 rows on each side.,,Staminate,,"oblong and curved, sometimes straight",3,,,,,,,,,,,,,,,,,,,,,,2nd order rachillae are recurved
Raphia,vinfera,,de Carvalho F.,2958,P,26-6-1987,,,,,,,,,,,,,dorsi ventrally keeled,grayish green,,,,irregular,,Lanceolate,,,,,,,,,Yes,Yes,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphia,vinfera,,de Carvalho F.,3247,P,30-11-1987,,10,,,,,,,,,,,dorsi ventrally keeled,grayish green,,,,,,Lanceolate,,,,,82.5,4.2,,,Yes,Yes,,,,,,,,,Pre anthesis,,,,,,,,,,dorsi ventrally flattened,rounded at base,2.5 X 0.8,Yes,23,1.6,,,,,grayish brown,smooth,28,alternating in two rows on both sides ; in one row at apex,Dorsi ventrally flatened,9,0.6,8,0.6,,0.6,grayish brown,smooth,straight,alternating in two rows on each side; in one row towards apex and base,,Staminate,1,oblong and curved,3,,,,,,,,,,,,,,,,,,,,,,
Raphia,sudanica,,Chevalier A.,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,"axis dorsiventrally flattened, very crowded",grown into rachillae,,Yes,,,,,,,brown,smooth,,alternating in two rows on each side,Dorsi ventrally flatened,4,0.4,,,2.5,,light brown,smooth,straight,alternating in two rows on each side,,,,1;5,3,,Pistillate,,,,,oblong,6.5,2.8,seems mature,,,9 row with shallow grooves,,,,,dark brown,,,,
Raphia,sudanica,,Raynal J.,20934,P,5-12-1978,,8,,,,,,,,,,,,,,,,,,Lanceolate,,,,,,,Lanceolate,,Yes,Yes,,Needle-like,,,,,,,fruiting,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,6.2,,seems mature,0.9,0.6,9 rows,,,,,orange brown,,,,
Raphia,taedigera,,Glaziou A.,58,P,,,,,,,,,,,,,,dorsi ventrally keeled,light brown,,,,,,Lanceolate,,,,,,,Lanceolate,,Yes,Yes,0.15,Needle-like,,,,,,,Pre anthesis,,,,,,,,,,dorsi ventrally flatened,grown into rachillae,,Yes,,,,,,,light brown,smooth,56,alternating in 2 rows on each side,Dorsi ventrally flattened,,,,0.1,4,0.1,light brown,smooth,straight,alternating in two rows on each side; in one row towards apex,,Staminate,0.5,oblong with pointed tip,3,,,,,,,,,,,,,,,,,,,,,,label mentions collection date 1877-1878
Raphia,sudanica,,Letouzey R.,13025,P,26-10-1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid with largest part towards beak,,3.5,,,,10 rows,,,,,orange brown,,,,
Raphia,sudanica,,Probably Chevalier A.,21946,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"oblong, larger towards beak",8,,larger ones mature,,,9 mostly. ll once,,,,,dark brown,,,,
Raphia,sp,,Hédin L.,2001,P,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oblong,8.5,4.5,mature,0.9,0.6,11 mostly; 13 once,,,6.1,2.2,orange brown,,,,
Raphia,vinfera,,Letouzey R.,14934,P,12-5-1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid to Oblong,,,seem mature,,,10-12. mostly 12 . one ten,,,,,yellow to light brown,,,,scales longer than wider
Raphia,laurentii,,Emile Laurent,,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre anthesis,,,,,,,,,,,,,,,,,,,,gray-light brown,smooth,,alternating in 2 rows on each side,,,,,,,0.8,gray-light brown,smooth,straight,alternating in one row on each side;sometimes two,dorsi ventrally flattened,Staminate,,"oblong, slightly C-shaped",3,,,,,,,,,,,,,,,,,,,,,,
Raphia,farinifera,,Dybowski M.J.,,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptic to circular,4.8,,most likely mature,0.4,,12rows,,,,,orange brown,,,,
Raphia,farinifera,,Jansen P.C.M.; de Koning J.,120,BR,7-8-1981,"Yes, stemless in young stage",,,,,,7,,,,,,dorsi ventrally keeled,,armed,200,100,,,Lanceolate,,,1,5,,,,midrib prominent above,"yes, especially at base",Yes,,,,,,,pendulous,,fruiting,1,,,,,outer side light brown to brown; innerside dark brown,,,,dorsi ventrally flattened,grown into rachillae,,yes,,,23,3,,,light brown,smooth,,alternating in 2 rows on each side,Dorsi ventrally flattened,10.5,0.8,8.5,0.6,3.5,0.4,light brown,smooth,straight,alternating in one row on each side,dorsi ventrally flattened,Staminate,0.7,oblong,3,,,,,,,oblong,,2.5,immatture,0.3,,12 rows,,0.2,,,light to dark brown,on rocky island in riverbed,,wild,
Raphia,gentiliana,type,Emile et Laurent,,BR,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendulous,2,anthesis,,13,brown,13,circular,tubular,8,2,alternates in two planes on each side the infl. rachis,dorsi ventrally flattened,flattened,1.8-2X0.6,"yes, only with male flowers",,,,,14.5,,brown,smooth,25,alternating in 2 rows on each side,flattened,,0.2,5,0.2,2.5,0.2,brown,smooth,straight,alternating in two rows on each side,slightly circular,Staminate,0.5,oblong with pointed tip,3,,,,,,,,,,,,,,,,,,,,,,"inflorescence seen with only male flowers,no female flowers seen. Inflorescence with no fruit"
Raphia,gentiliana,var gilletii,Gillet J.,1851,BR,,yes,,,,,,,,,,,,,,,,,,,Lanceolate,1.03,4.8,,,,,,,"yes, especially at base",Yes,,,,,,,,,fruiting,,,,,,,,,,dorsi ventrally flattened,grown into rachillae,,"yes,male flowers present, fewer females towards apex",,,,,,,grayish brown,smooth,,alternating in 2 rows on each side,short and flattened,,0.4,,0.4,5.5,0.3,grayish brown,smooth,straight,alternating in two rows on each side,circylar,Staminate,,slightly C-shaped,3,,,,,,,egg-shaped,3.7,2.2,immature,0.4,,10-11rows,,,,,brown,,,,
Raphia,laurentii,type,Emile et Laurent,,BR,,yes,,,,,,,,,,,,,,,,,,,Lanceolate,,,,,,,,,not seen,yes,,,,,,,,,Pre anthesis,,,,,,,,,,dorsi ventrally flattened,flatened and thick,"3X0,6","yes,male flowers present, fewer females towards apex",,3.2,,,,,grayish brown,smooth,44,alternating in 2 rows on each side,short and flattened,21,0.8,16,0.8,13,0.7,grayish brown,smooth,straight,alternating in two rows on each side;sometimes one,dorsi ventrally flattened,Staminate,,slightly C-shaped,3,,,,,,,egg-shaped to oblong,5.3,3.2,immature,0.7,0.4,12rows,,,3.6,2.2,light brown to brown,,,,second order rachillae are curly
Raphia,sp cff gentiliana/textilis,,Wieringa J.J & van de Poll H&M,1507,WAG,28-8-1992,yes,9,,,,,21,,,,,,dorsi ventrally keeled,Light green,armed,,273,irregular,,Lanceolate,,,1.25,4,6.5,0.3,Lanceolate,,"yes, especially at base",Yes,,seems needle-like,Needle-like,,,,pendulous,,fruiting,,,,,,,,,,dorsi ventrally flattened,seems to grow into a rachillae,,,31,1.4,,,,,grayish brown,smooth,60,alternating in 2 rows on each side,more circular,21,0.5,14,0.3,5.5,0.2,grayish brown,smooth,straight,"alternating in two rows on each side, in one row at the apex",,,,slightly C-shaped,3,,,,,,,oblong,,1.9,seem immature,,,9 rows,,,,,dark brown,Disturbed primary forest,,,
Raphia,matombe,type,Gillet J.,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,dorsi ventrally flattened,grown into rachillae,,yes,,,,,,,brown,smooth,55,alternating in 2 rows on each side,short and flattened,,0.5,,0.5,3,0.2,brown,smooth,straight,alternating in one row on eache side,dorsi ventrally flattened,Staminate,,lanceolate with slightly curved and pointed tip,3,,Pistillate,,egg-shaped. pointed at beak,,,oblong,,,seem immature,0.5,,12 rows,,,,,brown,,,,
Raphia,monbuttorum,var mortehanii,Mortehan,613,BR,,yes,,,,,,,,,,,,,,,,,,,Lanceolate,,,,,,,Lanceolate,,yes,Yes,,lanceolate,,,,,,,Pre anthesis,,,,,,,,,,dorsi ventrally flattened,flattened; rachillae end at some point leaving a portion of about 3 bear,"3,8x0,6-0,7","yes, only with male flowers",,,,,,,light brown,smooth,41,alternating in 2 rows on each side,short and flattened,,0.3,,0.3,,,brown,smooth,straight,"alternating in two rows, in one row at base and apex of rachilla",dorsi ventrally flattened,Staminate,,slightly C-shaped,3,,,,,,,,,,,,,,,,,,,,,,"Rachilla bract at base of first order rachillae is 8,5 long, 1,6 wide; collected towards the north of DRC, looks definitely different from R. laurentii"
Raphia,palma-pinus,,Vanden Berghen C.,7523,BR,19-9-1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fruiting,,,,,,,,,,dorsi ventrally flattened,flattened and thin,"1.6x0,2","yes, only with male flowers",17.8,1.2,,,,,brown,smooth,57,alternating in 2 rows on each side,small knob about 2mm,,0.4,,0.3,,0.3,brown,smooth,straight,alternating in two rows on each side;in one row towards apex,dorsi ventrally flattened,Staminate,1,slightly C-shaped,3,,,,,,,oblong,4,,seems immature,,,7-8 rows,,,,,brown; margin of scales dark brown,harvested at the border of a mangrove,,,
Raphia,ruwenzorica,type,Robyns W.,4039,BR,31-8-1953,yes,,,,,,10,,,,,,dorsi ventrally keeled,pale green,,,,,,Lanceolate,,,,,,,Lanceolate,,yes,yes,,Needle-like,,,,,pendulous,,at athesis,4,,light brown,,,,,,,dorsi ventrally flattened,grown into rachillae,,"yes, mostly with male flowers",,,,,,,light brown,smooth,60,alternating in 2 rows on each side,short and flattened,,,,0.5,,0.4,light brown,smooth,straight,alternating in two rows on each side;in one row towards apex,sort of circular,Staminate,,oblong with pointed tip,3,,,,egg-shaped. pointed at beak,,,obovoid to oblong;widest part towards the beak,,,seems mature,0.5,,11-12rows,,,,,,collected at high altitude 1200m,,,
Raphia,sese,type,Emile et Laurent,,BR,,yes,,,,,,,,,,,,dorsi ventrally keeled,brown,armed,,,,,Lanceolate,,,,,49,1.5,,,yes,yes,0.2,,,,,,pendulous,,fruiting,,,grayish brown,,,,,,,dorsi ventrally flattened,,,,,2.8,,,,,grayish brown,smooth,,"not clear, but seems to alternate in two rows",flattened and pointed,,,,,,,gray brown,smooth,straight,alternating in one row on eache side,dorsi ventrally flattened,Staminate,2,oblong with curved pointed beak,3,,,,,,,egg shaped to oblong,,,a mix of mature and immature fruits,,,12 rows,,,5,2,greenish yellow to yellow,,,,
Raphia,textilis,,Emile et Laurent,,BR,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,at athesis,,,light brown,,,,,,,dorsi ventrally flattened,"flattened, thin and zigzag; bearing male flowers",3 long,yes; bearing male flowers,,,,,,,light brown,smooth,,alternating in 2 rows on each side,flattened,,0.6,23,0.5,,0.3,light brown,smooth,straight,alternating in two rows on each side;in one row towards apex,dorsi ventrally flattened,Staminate,0.6,obovate,3,,,,,,,,,,,,,,,,,,,,,,Second order rachillae have same breaking patterns like the Raphia epeke i collected in Mabali forest reserve.
Raphia,laurentii,,M. Laurent,909,BR,10-6-1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Before anthesis,,,,,,,,,,dorsi ventrally flattened,flattened to elliptic at base,3X0.8,yes; bearing male flowers,,3,,,,,grayish brown,smooth,40,alternating in 2 rows on each side,flattened,,,,,,0.7,gray brown,smooth,straight,alternating in one row on eache side,dorsi ventrally flattened,,,,,,,,,,,,2,,immature,0.8,,12 rows,,,,,,,,,
Raphia,monbuttorum,,Leornard J.,1144,BR,15-3-1947,yes,,,,,,,,,,,,dorsi ventrally keeled,gray green,armed,,,,,Lanceolate,,,,,52,1.8,Lanceolate,midrib prominent above,yes,Yes,,,,,,,,,at athesis,,,,,,,,,,dorsi ventrally flattened,,,yes; bearing male flowers,,3,,,,,grayish brown,smooth,100,alternating in 2 rows on each side,flattened,,0.7,11.5,,,0.5,gray brown,smooth,straight,alternating in two rows on each side,dorsi ventrally flattened,see floral data base,,,,,,,,,,oblong,7,4,seems mature,0.5,,12 rows,,,4.5,2.8,dark brown,,,,
